,province,country,latitude,longitude,confirmed_cases,deaths,recovered,data_source,country_code,region,country_flag,Observation Date
55,Jiangsu,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
56,Liaoning,China,35.86166,104.195397,16,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
57,Shaanxi,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
58,Yunnan,China,35.86166,104.195397,11,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
59,Tianjin,China,35.86166,104.195397,10,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
60,Heilongjiang,China,35.86166,104.195397,9,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
61,Shanxi,China,35.86166,104.195397,9,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
62,Hebei,China,35.86166,104.195397,8,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
63,Guizhou,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
64,Hong Kong,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
66,Jilin,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
70,Xinjiang,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
71,Ningxia,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
72,Taiwan,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
75,Gansu,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
76,Inner Mongolia,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
77,Macau,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
81,Qinghai,China,35.86166,104.195397,1,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
83,Hubei,China,35.86166,104.195397,729,40.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
84,Guangdong,China,35.86166,104.195397,78,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
85,Zhejiang,China,35.86166,104.195397,62,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
86,Chongqing,China,35.86166,104.195397,57,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
87,Hunan,China,35.86166,104.195397,43,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
88,Anhui,China,35.86166,104.195397,39,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
89,Beijing,China,35.86166,104.195397,36,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
90,Shanghai,China,35.86166,104.195397,33,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
91,Henan,China,35.86166,104.195397,32,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
92,Sichuan,China,35.86166,104.195397,28,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
93,Shandong,China,35.86166,104.195397,27,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
94,Guangxi,China,35.86166,104.195397,23,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
95,Jiangxi,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
96,Fujian,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
97,Jiangsu,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
98,Hainan,China,35.86166,104.195397,17,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
99,Shaanxi,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
100,Liaoning,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
101,Tianjin,China,35.86166,104.195397,9,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
102,Heilongjiang,China,35.86166,104.195397,9,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
103,Hebei,China,35.86166,104.195397,8,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
104,Shanxi,China,35.86166,104.195397,6,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
105,Yunnan,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
106,Hong Kong,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
108,Guizhou,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
109,Jilin,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
111,Xinjiang,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
112,Ningxia,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
113,Taiwan,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
118,Gansu,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
119,Macau,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
123,Inner Mongolia,China,35.86166,104.195397,1,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
125,Hubei,China,35.86166,104.195397,729,40.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
126,Guangdong,China,35.86166,104.195397,78,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
127,Zhejiang,China,35.86166,104.195397,62,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
128,Chongqing,China,35.86166,104.195397,57,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
129,Hunan,China,35.86166,104.195397,43,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
130,Anhui,China,35.86166,104.195397,39,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
131,Beijing,China,35.86166,104.195397,36,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
132,Shanghai,China,35.86166,104.195397,33,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
133,Henan,China,35.86166,104.195397,32,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
134,Sichuan,China,35.86166,104.195397,28,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
135,Shandong,China,35.86166,104.195397,27,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
136,Guangxi,China,35.86166,104.195397,23,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
137,Jiangxi,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
138,Fujian,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
139,Jiangsu,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
140,Hainan,China,35.86166,104.195397,17,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
141,Shaanxi,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
142,Liaoning,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
143,Tianjin,China,35.86166,104.195397,10,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
144,Heilongjiang,China,35.86166,104.195397,9,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
145,Hebei,China,35.86166,104.195397,8,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
146,Shanxi,China,35.86166,104.195397,6,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
147,Yunnan,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
148,Guizhou,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
149,Hong Kong,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
151,Jilin,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
153,Xinjiang,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
154,Ningxia,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
155,Taiwan,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
160,Gansu,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
161,Inner Mongolia,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
162,Macau,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
166,Qinghai,China,35.86166,104.195397,1,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
168,Hubei,China,35.86166,104.195397,729,40.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
169,Guangdong,China,35.86166,104.195397,78,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
170,Zhejiang,China,35.86166,104.195397,62,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
171,Chongqing,China,35.86166,104.195397,57,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
172,Hunan,China,35.86166,104.195397,43,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
173,Beijing,China,35.86166,104.195397,41,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
174,Anhui,China,35.86166,104.195397,39,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
175,Shanghai,China,35.86166,104.195397,33,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
176,Henan,China,35.86166,104.195397,32,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
177,Sichuan,China,35.86166,104.195397,28,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
178,Shandong,China,35.86166,104.195397,27,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
179,Guangxi,China,35.86166,104.195397,23,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
180,Jiangxi,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
181,Fujian,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
182,Jiangsu,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
183,Hainan,China,35.86166,104.195397,17,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
184,Liaoning,China,35.86166,104.195397,16,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
